Id,Name,Score,Country,CreatedDateTime
1,Prayut,1,Thailand,1/1/2019 7:50:30 AM,
2,Thaksin,5,Cambodia,1/1/2019 4:52:20 PM,
3,Saladpuk,4,Philippines,1/1/2019 4:35:20 AM,
4,Saladpuk,4,Cambodia,1/1/2019 4:16:20 AM,
5,Thaksin,1,Cambodia,1/2/2019 3:04:20 AM,
6,Saladpuk,1,Philippines,1/1/2019 12:01:50 AM,
7,Prayut,6,Philippines,1/1/2019 4:15:50 PM,
8,Prayut,4,Philippines,1/2/2019 2:15:10 AM,
9,Thaksin,6,Thailand,1/1/2019 11:12:50 AM,
10,Thaksin,4,Cambodia,1/1/2019 6:27:30 PM,
11,Prayut,9,Thailand,1/2/2019 1:38:20 AM,
12,Prayut,7,Philippines,1/1/2019 9:23:30 AM,
13,Saladpuk,5,Philippines,1/1/2019 11:01:40 PM,
14,Prayut,4,Thailand,1/1/2019 6:23:00 PM,
15,Saladpuk,4,Cambodia,1/2/2019 12:53:50 AM,
16,Prayut,8,Philippines,1/1/2019 9:06:40 PM,
17,Thaksin,9,Philippines,1/1/2019 6:35:10 PM,
18,Saladpuk,10,Cambodia,1/1/2019 8:09:20 AM,
19,Thaksin,8,Thailand,1/1/2019 7:40:10 AM,
20,Prayut,8,Thailand,1/1/2019 8:04:00 AM,
21,Thaksin,5,Cambodia,1/1/2019 10:19:20 AM,
22,Prayut,2,Philippines,1/2/2019 2:20:20 AM,
23,Saladpuk,5,Thailand,1/1/2019 8:21:00 AM,
24,Prayut,8,Philippines,1/1/2019 1:48:10 AM,
25,Saladpuk,3,Cambodia,1/1/2019 10:50:00 PM,
26,Prayut,3,Thailand,1/1/2019 6:54:50 AM,
27,Prayut,4,Cambodia,1/1/2019 7:07:00 AM,
28,Saladpuk,10,Philippines,1/1/2019 3:13:20 PM,
29,Prayut,1,Thailand,1/1/2019 7:41:30 AM,
30,Thaksin,4,Thailand,1/1/2019 5:25:30 AM,
31,Prayut,9,Cambodia,1/1/2019 8:36:40 PM,
32,Prayut,3,Cambodia,1/1/2019 8:03:30 PM,
33,Prayut,1,Thailand,1/1/2019 7:09:50 PM,
34,Saladpuk,6,Cambodia,1/1/2019 11:13:00 AM,
35,Saladpuk,2,Cambodia,1/1/2019 7:53:30 AM,
36,Prayut,8,Philippines,1/1/2019 8:03:40 AM,
37,Prayut,6,Thailand,1/1/2019 10:57:20 PM,
38,Thaksin,7,Philippines,1/1/2019 7:52:50 PM,
39,Saladpuk,4,Philippines,1/2/2019 1:29:10 AM,
40,Prayut,5,Cambodia,1/1/2019 7:19:20 PM,
41,Saladpuk,7,Cambodia,1/1/2019 5:11:40 AM,
42,Prayut,10,Cambodia,1/1/2019 1:12:20 PM,
43,Thaksin,9,Thailand,1/1/2019 6:00:00 AM,
44,Prayut,9,Cambodia,1/1/2019 4:46:00 AM,
45,Saladpuk,1,Philippines,1/1/2019 8:23:20 AM,
46,Prayut,6,Thailand,1/1/2019 1:21:40 AM,
47,Thaksin,5,Cambodia,1/1/2019 10:39:40 PM,
48,Thaksin,6,Cambodia,1/2/2019 12:05:10 AM,
49,Prayut,8,Thailand,1/1/2019 3:28:20 AM,
50,Saladpuk,6,Cambodia,1/1/2019 9:36:50 PM,
51,Saladpuk,9,Thailand,1/1/2019 5:23:50 PM,
52,Prayut,5,Philippines,1/1/2019 11:06:40 AM,
53,Prayut,8,Philippines,1/1/2019 9:05:30 PM,
54,Thaksin,2,Philippines,1/1/2019 1:08:50 PM,
55,Thaksin,5,Philippines,1/1/2019 9:25:50 AM,
56,Thaksin,6,Philippines,1/1/2019 12:12:30 AM,
57,Saladpuk,2,Cambodia,1/1/2019 5:52:50 AM,
58,Thaksin,3,Philippines,1/1/2019 6:55:10 PM,
59,Thaksin,2,Thailand,1/1/2019 2:13:30 AM,
60,Saladpuk,7,Cambodia,1/2/2019 12:56:50 AM,
61,Prayut,1,Philippines,1/1/2019 10:13:10 PM,
62,Prayut,8,Cambodia,1/1/2019 5:56:30 PM,
63,Prayut,8,Philippines,1/1/2019 8:35:40 PM,
64,Prayut,2,Thailand,1/1/2019 5:59:50 PM,
65,Prayut,3,Thailand,1/1/2019 3:15:40 PM,
66,Saladpuk,6,Philippines,1/1/2019 6:36:10 PM,
67,Prayut,1,Thailand,1/1/2019 6:33:50 AM,
68,Prayut,7,Thailand,1/1/2019 9:56:10 PM,
69,Saladpuk,10,Cambodia,1/1/2019 11:36:50 AM,
70,Prayut,2,Thailand,1/1/2019 2:09:20 PM,
71,Prayut,9,Thailand,1/1/2019 8:39:50 PM,
72,Thaksin,3,Philippines,1/1/2019 1:06:00 PM,
73,Prayut,5,Thailand,1/1/2019 2:22:20 AM,
74,Saladpuk,9,Philippines,1/1/2019 3:55:00 AM,
75,Saladpuk,2,Thailand,1/1/2019 10:05:40 PM,
76,Thaksin,3,Cambodia,1/1/2019 7:36:20 AM,
77,Thaksin,10,Cambodia,1/1/2019 9:41:00 PM,
78,Thaksin,9,Philippines,1/1/2019 10:58:40 PM,
79,Saladpuk,9,Philippines,1/1/2019 5:18:00 AM,
80,Saladpuk,2,Thailand,1/1/2019 3:49:30 PM,
81,Saladpuk,7,Thailand,1/1/2019 2:28:10 PM,
82,Thaksin,1,Cambodia,1/1/2019 8:06:50 AM,
83,Saladpuk,5,Thailand,1/1/2019 1:52:00 PM,
84,Saladpuk,4,Philippines,1/1/2019 1:57:50 PM,
85,Saladpuk,10,Thailand,1/1/2019 6:00:50 PM,
86,Thaksin,3,Philippines,1/1/2019 1:49:50 AM,
87,Thaksin,4,Thailand,1/1/2019 1:14:20 PM,
88,Prayut,7,Philippines,1/1/2019 2:54:10 AM,
89,Saladpuk,5,Philippines,1/2/2019 2:57:00 AM,
90,Prayut,2,Philippines,1/1/2019 3:23:30 PM,
91,Thaksin,4,Philippines,1/1/2019 12:04:10 AM,
92,Thaksin,5,Philippines,1/1/2019 7:36:50 PM,
93,Prayut,4,Thailand,1/1/2019 9:20:50 AM,
94,Saladpuk,5,Philippines,1/1/2019 11:46:50 PM,
95,Prayut,3,Thailand,1/1/2019 6:23:20 AM,
96,Saladpuk,1,Thailand,1/1/2019 9:09:40 AM,
97,Prayut,1,Cambodia,1/1/2019 6:42:50 PM,
98,Thaksin,9,Cambodia,1/1/2019 12:43:40 AM,
99,Saladpuk,6,Thailand,1/1/2019 6:40:30 AM,
100,Thaksin,10,Cambodia,1/1/2019 1:04:50 AM,
101,Thaksin,4,Cambodia,1/1/2019 5:13:50 PM,
102,Prayut,5,Thailand,1/1/2019 5:53:40 PM,
103,Thaksin,9,Thailand,1/1/2019 5:39:20 PM,
104,Saladpuk,5,Cambodia,1/1/2019 11:23:00 AM,
105,Saladpuk,5,Cambodia,1/1/2019 3:51:20 PM,
106,Saladpuk,1,Thailand,1/1/2019 1:34:30 AM,
107,Prayut,1,Thailand,1/1/2019 12:25:20 PM,
108,Saladpuk,8,Cambodia,1/1/2019 8:28:20 PM,
109,Prayut,10,Cambodia,1/1/2019 8:48:00 PM,
110,Thaksin,8,Cambodia,1/1/2019 4:51:30 AM,
111,Prayut,8,Thailand,1/1/2019 9:02:20 PM,
